Date,Store_ID,Product_ID,Opening_Stock,Closing_Stock,Wastage_Units,Reorder_Level
2024-06-23,S002,P109,362,279,5,154
2024-11-29,S020,P070,320,239,15,133
2024-12-15,S008,P114,396,358,4,114
2024-08-10,S008,P065,214,158,15,150
2024-11-19,S017,P023,496,459,17,158
2024-05-09,S017,P068,209,121,2,175
2024-07-07,S015,P070,440,391,22,177
2024-05-30,S008,P030,278,205,8,110
2024-12-09,S004,P097,413,322,3,106
2024-08-31,S002,P074,597,519,14,173
2024-01-03,S004,P005,509,408,13,102
2024-07-07,S019,P076,529,431,14,152
2024-06-28,S006,P032,138,47,15,153
2024-11-14,S013,P090,342,312,3,122
2024-03-10,S016,P105,342,311,1,102
2024-08-24,S014,P076,346,283,22,102
2024-09-05,S016,P052,369,321,14,133
2024-03-22,S011,P028,124,10,4,152
2024-04-17,S010,P024,258,154,2,105
2024-03-06,S010,P038,394,274,9,169
2024-03-14,S002,P026,552,473,16,169
2024-10-16,S015,P049,415,320,16,88
2024-04-20,S007,P022,572,473,12,85
2024-06-22,S007,P049,207,158,25,91
2024-11-04,S012,P016,471,331,25,195
2024-01-24,S003,P105,369,296,1,180
2024-04-18,S002,P112,552,509,5,187
2024-01-03,S011,P021,444,343,24,142
2024-11-27,S017,P115,169,104,2,166
2024-10-16,S005,P012,486,389,20,131
2024-07-08,S005,P024,158,50,4,144
2024-10-17,S010,P038,421,398,0,156
2024-09-04,S015,P115,286,231,5,128
2024-09-03,S002,P091,545,476,4,164
2024-01-19,S005,P041,115,60,14,133
2024-11-02,S001,P072,488,404,15,140
2024-06-17,S017,P046,216,144,17,108
2024-12-08,S017,P041,477,410,0,166
2024-01-05,S013,P044,275,220,4,171
2024-10-30,S008,P095,288,200,4,167
2024-04-02,S014,P003,285,222,25,178
2024-07-04,S014,P034,589,528,21,167
2024-10-01,S005,P063,257,209,21,190
2024-01-13,S008,P024,567,443,15,141
2024-10-22,S006,P061,227,110,13,166
2024-09-17,S014,P104,133,26,2,159
2024-01-24,S020,P068,452,374,4,175
2024-02-21,S007,P099,367,285,4,111
2024-09-07,S001,P028,568,433,18,169
2024-10-07,S003,P051,135,26,8,85
2024-01-27,S008,P102,206,179,3,166
2024-01-06,S014,P086,345,292,4,134
2024-10-09,S017,P077,154,110,19,195
2024-05-01,S008,P045,496,407,16,148
2024-02-15,S019,P077,346,279,21,136
2024-08-07,S006,P093,320,282,2,152
2024-09-22,S011,P081,528,458,1,106
2024-01-29,S014,P070,154,61,22,177
2024-06-11,S002,P028,544,433,15,98
2024-05-28,S018,P014,277,176,7,96
2024-06-14,S015,P112,183,73,3,121
2024-02-27,S016,P118,187,133,0,147
2024-09-13,S002,P062,286,223,7,169
2024-08-10,S005,P037,332,250,10,151
2024-04-06,S007,P060,136,47,10,93
2024-10-10,S017,P075,237,172,0,104
2024-02-13,S002,P089,355,253,3,80
2024-09-28,S017,P029,367,305,13,187
2024-10-14,S005,P070,574,445,17,194
2024-12-12,S009,P060,113,0,23,175
2024-04-26,S018,P093,443,370,5,184
2024-10-16,S019,P073,484,456,7,199
2024-10-28,S020,P087,163,51,3,198
2024-12-28,S018,P115,163,51,3,147
2024-08-07,S013,P042,525,500,3,141
2024-01-23,S001,P107,167,69,1,179
2024-08-26,S008,P064,587,508,16,183
2024-02-26,S014,P093,484,395,2,107
2024-12-18,S006,P023,138,71,17,176
2024-05-04,S004,P012,175,140,2,149
2024-08-06,S003,P040,196,80,2,135
2024-06-28,S014,P055,275,207,19,149
2024-07-10,S019,P020,117,3,16,184
2024-11-11,S019,P053,235,207,0,115
2024-10-31,S019,P004,125,49,16,162
2024-11-29,S006,P006,577,513,8,160
2024-06-10,S001,P074,452,365,16,87
2024-07-11,S010,P078,404,302,3,95
2024-10-17,S007,P020,138,82,15,121
2024-09-20,S003,P117,114,26,4,171
2024-04-26,S003,P030,441,343,9,167
2024-06-23,S012,P029,276,170,22,99
2024-04-17,S013,P030,465,357,19,123
2024-09-26,S008,P035,326,207,14,123
2024-09-16,S010,P033,271,206,19,154
2024-11-18,S019,P045,469,356,10,149
2024-01-27,S017,P025,366,234,13,106
2024-11-02,S010,P100,270,170,2,100
2024-01-20,S019,P067,452,354,14,152
2024-08-09,S004,P090,461,355,5,125
2024-09-17,S018,P011,212,169,13,197
2024-10-22,S009,P102,533,501,4,137
2024-10-02,S013,P120,424,370,2,147
2024-05-11,S009,P102,539,485,3,197
2024-07-01,S003,P091,211,147,2,119
2024-11-30,S007,P051,209,88,12,120
2024-04-23,S004,P051,113,62,18,194
2024-01-10,S009,P070,328,276,4,87
2024-11-10,S004,P095,318,274,2,143
2024-11-20,S003,P044,220,144,10,92
2024-02-15,S007,P041,158,59,24,158
2024-09-21,S020,P007,586,485,14,185
2024-04-06,S003,P078,281,244,9,103
2024-03-22,S001,P091,288,213,0,102
2024-03-05,S001,P033,421,376,7,186
2024-06-05,S013,P110,535,482,4,165
