Date,Store_ID,Product_ID,Units_Sold,Selling_Price,Discount_%,Revenue
2024-10-10,S011,P066,28,3.38,0.0,94.64
2024-03-10,S001,P087,37,2.9,0.0,107.3
2024-09-14,S011,P112,124,5.39,0.0,668.36
2024-03-08,S015,P003,39,4.01,0.0,156.39
2024-12-26,S017,P040,92,8.78,0.0,807.76
2024-05-15,S015,P001,36,3.06,0.0,110.16
2024-09-02,S008,P059,24,12.54,0.0,300.96
2024-03-20,S008,P072,5,14.74,0.13,64.12
2024-09-04,S016,P030,17,10.87,0.0,184.79
2024-12-12,S002,P015,106,2.59,0.0,274.54
2024-06-29,S002,P022,7,5.16,0.0,36.12
2024-10-11,S013,P119,10,9.41,0.0,94.1
2024-08-20,S003,P027,10,4.85,0.0,48.5
2024-12-18,S011,P010,117,3.18,0.0,372.06
2024-03-19,S004,P008,74,14.17,0.07,975.18
2024-02-20,S006,P108,47,11.55,0.0,542.85
2024-11-14,S020,P008,19,13.94,0.2,211.89
2024-05-03,S009,P018,36,6.24,0.0,224.64
2024-07-20,S001,P061,59,5.2,0.0,306.8
2024-11-26,S007,P028,90,6.07,0.05,518.98
2024-12-09,S006,P091,121,6.51,0.0,787.71
2024-12-02,S014,P080,43,11.76,0.0,505.68
2024-11-18,S001,P089,45,2.25,0.0,101.25
2024-01-06,S002,P099,9,11.71,0.0,105.39
2024-11-18,S020,P007,94,11.35,0.0,1066.9
2024-02-27,S016,P065,48,4.17,0.0,200.16
2024-01-11,S010,P013,31,6.1,0.0,189.1
2024-06-18,S011,P043,78,13.71,0.0,1069.38
2024-09-17,S004,P110,62,8.68,0.0,538.16
2024-01-08,S015,P095,34,14.75,0.0,501.5
2024-08-15,S004,P039,83,10.57,0.0,877.31
2024-05-03,S014,P088,71,12.69,0.0,900.99
2024-09-01,S010,P080,33,12.01,0.13,344.81
2024-08-22,S001,P033,14,12.84,0.0,179.76
2024-05-29,S010,P020,66,9.64,0.0,636.24
2024-09-26,S013,P072,67,15.07,0.0,1009.69
2024-04-11,S006,P116,49,7.46,0.0,365.54
2024-02-25,S018,P018,44,6.24,0.0,274.56
2024-12-24,S014,P064,66,14.86,0.0,980.76
2024-07-02,S017,P020,18,9.9,0.14,153.25
2024-04-12,S020,P084,80,6.46,0.0,516.8
2024-01-06,S001,P088,45,13.1,0.0,589.5
2024-06-22,S002,P119,84,9.1,0.0,764.4
2024-01-16,S018,P032,130,10.37,0.0,1348.1
2024-02-27,S006,P018,74,6.21,0.0,459.54
2024-02-26,S001,P052,126,2.3,0.0,289.8
2024-04-27,S011,P036,104,3.94,0.0,409.76
2024-04-17,S020,P010,55,3.25,0.0,178.75
2024-11-07,S015,P114,24,8.04,0.0,192.96
2024-06-30,S016,P092,62,5.48,0.24,258.22
2024-08-22,S007,P081,66,14.05,0.0,927.3
2024-03-19,S011,P003,66,4.05,0.0,267.3
2024-05-05,S012,P070,87,13.57,0.0,1180.59
2024-03-10,S009,P044,9,3.44,0.17,25.7
2024-08-27,S010,P115,73,5.39,0.2,314.78
2024-06-13,S013,P039,18,10.06,0.0,181.08
2024-09-30,S012,P120,20,9.99,0.0,199.8
2024-04-21,S005,P112,41,5.62,0.0,230.42
2024-02-22,S003,P097,18,11.09,0.0,199.62
2024-08-12,S017,P076,8,9.32,0.0,74.56
2024-05-03,S015,P006,83,14.54,0.0,1206.82
2024-11-02,S004,P104,62,8.29,0.0,513.98
2024-12-09,S015,P063,98,4.61,0.0,451.78
2024-09-16,S010,P041,90,15.34,0.24,1049.26
2024-11-12,S015,P086,72,7.58,0.0,545.76
2024-03-06,S009,P037,68,13.46,0.0,915.28
2024-05-03,S015,P060,46,9.57,0.0,440.22
2024-12-28,S018,P038,82,11.65,0.0,955.3
2024-04-02,S002,P086,83,7.45,0.0,618.35
2024-10-15,S016,P044,81,3.4,0.0,275.4
2024-05-02,S005,P093,87,10.41,0.0,905.67
2024-08-28,S018,P111,62,3.66,0.0,226.92
2024-11-21,S009,P058,37,10.84,0.0,401.08
2024-01-11,S013,P075,20,15.09,0.09,274.64
2024-06-29,S004,P014,55,14.05,0.0,772.75
2024-10-12,S009,P027,90,4.65,0.0,418.5
2024-12-22,S004,P019,8,5.11,0.0,40.88
2024-05-19,S019,P120,60,10.82,0.0,649.2
2024-03-30,S018,P012,98,8.22,0.0,805.56
2024-07-25,S001,P012,79,8.27,0.0,653.33
2024-02-17,S006,P079,9,7.53,0.0,67.77
2024-02-18,S001,P034,16,7.19,0.0,115.04
2024-04-18,S019,P012,82,7.92,0.0,649.44
2024-04-28,S014,P043,53,14.24,0.0,754.72
2024-03-26,S012,P068,45,4.63,0.14,179.18
2024-10-30,S015,P108,86,11.89,0.05,971.41
2024-02-19,S009,P115,63,5.3,0.0,333.9
2024-02-06,S013,P085,40,7.71,0.0,308.4
2024-05-03,S014,P039,14,10.19,0.0,142.66
2024-06-11,S013,P054,63,11.78,0.0,742.14
2024-02-09,S012,P007,15,11.33,0.0,169.95
2024-08-12,S020,P077,7,8.06,0.0,56.42
2024-02-02,S018,P024,15,10.02,0.0,150.3
2024-07-24,S009,P036,72,3.77,0.0,271.44
2024-08-27,S006,P117,52,8.07,0.0,419.64
2024-03-31,S004,P049,107,2.45,0.0,262.15
2024-10-13,S001,P028,6,6.1,0.18,30.01
2024-11-08,S015,P027,7,4.87,0.0,34.09
2024-10-22,S013,P096,53,9.23,0.0,489.19
2024-02-16,S016,P081,6,13.44,0.0,80.64
2024-04-03,S018,P060,11,9.12,0.0,100.32
2024-03-08,S002,P075,41,15.18,0.0,622.38
2024-07-02,S014,P066,64,3.39,0.0,216.96
2024-08-13,S008,P079,10,7.38,0.0,73.8
2024-02-22,S019,P083,89,8.41,0.0,748.49
2024-06-30,S001,P043,52,13.89,0.0,722.28
2024-07-25,S017,P091,25,6.23,0.0,155.75
2024-12-27,S014,P082,74,7.97,0.0,589.78
2024-06-14,S002,P004,48,2.71,0.2,104.06
2024-12-28,S009,P042,72,5.85,0.0,421.2
2024-02-01,S019,P078,31,2.67,0.0,82.77
2024-06-05,S009,P027,23,4.75,0.0,109.25
2024-12-23,S009,P045,95,13.11,0.0,1245.45
2024-02-19,S015,P005,41,8.61,0.0,353.01
2024-02-22,S010,P024,62,10.06,0.21,492.74
2024-05-29,S006,P093,35,10.35,0.0,362.25
2024-10-18,S001,P005,111,8.43,0.0,935.73
2024-10-13,S005,P103,94,9.2,0.05,821.56
2024-04-03,S005,P008,15,14.14,0.0,212.1
2024-03-10,S003,P080,24,12.21,0.0,293.04
2024-05-28,S013,P032,75,10.36,0.0,777.0
2024-09-09,S007,P109,42,8.24,0.13,301.09
2024-12-18,S014,P086,47,7.72,0.0,362.84
2024-01-22,S004,P085,9,7.71,0.0,69.39
2024-11-25,S018,P094,104,15.23,0.0,1583.92
2024-04-23,S015,P056,25,8.6,0.0,215.0
2024-02-24,S002,P040,63,8.8,0.0,554.4
2024-09-01,S001,P083,126,8.25,0.0,1039.5
2024-06-08,S018,P075,107,15.11,0.16,1358.09
2024-02-06,S011,P001,46,3.02,0.0,138.92
2024-10-03,S010,P006,65,14.86,0.0,965.9
2024-04-02,S019,P107,14,4.71,0.0,65.94
2024-04-26,S011,P034,63,6.83,0.0,430.29
2024-03-17,S016,P080,44,11.58,0.0,509.52
2024-12-18,S001,P055,114,9.42,0.0,1073.88
2024-09-15,S010,P070,61,13.58,0.0,828.38
2024-02-09,S018,P032,20,10.24,0.0,204.8
2024-09-02,S017,P010,18,3.18,0.0,57.24
2024-12-21,S004,P038,57,11.77,0.0,670.89
2024-09-18,S014,P019,34,5.4,0.0,183.6
2024-08-30,S009,P120,23,10.91,0.0,250.93
2024-03-28,S013,P011,96,15.0,0.0,1440.0
2024-11-14,S002,P022,28,5.33,0.0,149.24
2024-04-28,S014,P076,13,9.29,0.0,120.77
2024-12-01,S004,P025,8,9.27,0.0,74.16
2024-05-28,S014,P067,18,14.34,0.0,258.12
2024-11-24,S003,P006,89,14.49,0.0,1289.61
2024-10-20,S010,P094,44,14.29,0.0,628.76
2024-04-27,S015,P058,53,10.65,0.0,564.45
2024-07-15,S009,P029,12,14.09,0.0,169.08
2024-08-08,S018,P034,128,6.85,0.0,876.8
2024-11-05,S008,P017,12,4.46,0.0,53.52
2024-05-02,S020,P060,101,9.05,0.0,914.05
2024-06-28,S004,P024,79,10.34,0.0,816.86
2024-12-15,S013,P019,14,5.24,0.0,73.36
2024-02-13,S001,P016,123,12.57,0.0,1546.11
2024-02-03,S011,P089,52,2.17,0.0,112.84
2024-07-17,S010,P027,20,4.8,0.1,86.4
2024-02-10,S004,P048,111,8.62,0.0,956.82
2024-01-10,S009,P013,49,6.21,0.0,304.29
2024-10-18,S002,P076,36,9.14,0.24,250.07
2024-07-01,S005,P116,28,7.73,0.0,216.44
2024-01-12,S005,P009,44,2.09,0.0,91.96
2024-12-05,S014,P082,121,7.96,0.0,963.16
2024-06-18,S005,P031,92,8.16,0.0,750.72
2024-12-13,S019,P018,71,6.01,0.0,426.71
2024-02-26,S017,P105,84,14.86,0.0,1248.24
2024-10-24,S005,P108,50,11.95,0.09,543.72
2024-03-29,S009,P024,58,10.43,0.0,604.94
2024-02-25,S013,P073,78,2.38,0.13,161.51
2024-10-25,S007,P059,81,12.9,0.0,1044.9
2024-07-02,S001,P114,57,8.42,0.16,403.15
2024-11-28,S010,P026,59,7.02,0.0,414.18
2024-10-07,S019,P016,6,11.91,0.0,71.46
2024-04-12,S017,P109,51,8.23,0.0,419.73
2024-06-24,S005,P014,104,13.99,0.0,1454.96
2024-02-22,S018,P051,70,3.07,0.0,214.9
2024-07-04,S020,P119,123,9.44,0.23,894.06
2024-08-13,S020,P028,39,6.02,0.0,234.78
2024-12-14,S020,P007,64,11.54,0.0,738.56
2024-05-17,S006,P093,11,10.84,0.0,119.24
2024-02-13,S010,P031,8,7.8,0.0,62.4
2024-04-23,S002,P023,87,11.94,0.0,1038.78
2024-05-24,S009,P088,44,13.03,0.0,573.32
2024-08-19,S008,P008,28,13.64,0.17,316.99
2024-04-19,S009,P025,51,9.71,0.0,495.21
2024-12-09,S003,P021,63,9.54,0.0,601.02
2024-10-31,S005,P073,9,2.3,0.0,20.7
2024-10-11,S004,P053,27,14.02,0.0,378.54
2024-03-13,S011,P050,118,7.07,0.0,834.26
2024-08-29,S018,P047,52,6.57,0.0,341.64
2024-06-06,S013,P102,118,3.18,0.0,375.24
2024-02-17,S016,P096,75,9.05,0.0,678.75
2024-09-20,S019,P064,68,14.68,0.11,888.43
2024-07-14,S004,P032,16,9.69,0.0,155.04
2024-11-15,S003,P049,94,2.53,0.0,237.82
2024-01-25,S010,P114,40,8.6,0.0,344.0
2024-02-16,S020,P100,109,7.18,0.0,782.62
2024-05-06,S019,P038,44,12.31,0.0,541.64
2024-06-12,S020,P005,106,8.34,0.0,884.04
2024-07-02,S010,P033,54,12.98,0.0,700.92
2024-03-01,S007,P051,65,3.18,0.0,206.7
2024-11-29,S015,P115,4,5.14,0.0,20.56
2024-03-11,S018,P075,10,15.59,0.24,118.48
2024-04-30,S016,P061,26,4.98,0.0,129.48
2024-10-02,S019,P091,18,6.44,0.0,115.92
2024-09-29,S017,P064,81,14.85,0.0,1202.85
2024-01-18,S007,P030,11,10.59,0.0,116.49
2024-03-16,S019,P041,22,14.45,0.0,317.9
2024-05-06,S004,P032,14,10.26,0.0,143.64
2024-04-01,S003,P093,118,10.67,0.16,1057.61
2024-10-09,S004,P058,61,10.63,0.0,648.43
2024-06-06,S003,P028,81,6.17,0.0,499.77
2024-06-26,S005,P073,10,2.39,0.0,23.9
2024-12-04,S007,P006,14,14.63,0.13,178.19
2024-01-08,S013,P041,9,14.57,0.0,131.13
2024-03-21,S008,P071,52,5.05,0.22,204.83
2024-09-04,S004,P094,57,14.75,0.0,840.75
2024-07-04,S002,P040,72,8.43,0.0,606.96
2024-01-12,S002,P046,8,8.31,0.0,66.48
2024-08-16,S008,P043,22,14.0,0.0,308.0
2024-05-14,S016,P004,42,2.55,0.0,107.1
2024-01-29,S001,P026,27,6.84,0.0,184.68
2024-12-20,S013,P116,57,7.84,0.09,406.66
2024-11-16,S008,P073,83,2.32,0.0,192.56
2024-02-09,S002,P049,12,2.56,0.0,30.72
2024-12-11,S016,P117,63,8.02,0.0,505.26
2024-09-25,S002,P078,38,2.74,0.13,90.58
2024-06-14,S020,P114,23,8.56,0.0,196.88
2024-12-27,S009,P054,111,11.64,0.0,1292.04
2024-02-18,S013,P068,105,4.55,0.0,477.75
2024-10-18,S009,P084,44,6.46,0.0,284.24
2024-10-09,S011,P088,127,12.44,0.0,1579.88
2024-10-29,S010,P104,22,8.27,0.0,181.94
2024-05-26,S019,P084,68,6.2,0.0,421.6
2024-09-23,S015,P005,37,8.35,0.0,308.95
2024-12-03,S010,P010,60,3.18,0.0,190.8
2024-06-09,S001,P004,67,2.56,0.0,171.52
2024-06-01,S011,P084,119,6.48,0.0,771.12
2024-03-28,S001,P046,74,8.36,0.0,618.64
2024-12-10,S020,P024,10,10.01,0.0,100.1
2024-02-22,S010,P119,25,9.14,0.0,228.5
2024-09-01,S007,P120,58,10.72,0.0,621.76
2024-07-11,S020,P112,10,5.3,0.0,53.0
2024-12-24,S019,P052,98,2.2,0.0,215.6
2024-09-25,S011,P082,114,7.96,0.0,907.44
